Title,Author,Rating,Reviews
Mahabharata [Bhagavad Gita],Unknown,3.00 (1),laman,false
Epic of Gilgamesh,Unknown,No Rating,No reviews,false
The Old Testament,Unknown,3.00 (1),huseyn,false
Illiad,Homer,No Rating,No reviews,false
Odyssey,Homer,No Rating,No reviews,false
Histories,Herodotus,No Rating,No reviews,false
[Plays],Sophocles,No Rating,No reviews,false
[Plays],Aeschyles,No Rating,No reviews,false
Hippolytus,Euripides,No Rating,No reviews,false
Bachants,Euripides,No Rating,No reviews,false
Electra,Euripides,No Rating,No reviews,false
The Phornician Women,Euripides,No Rating,No reviews,false
The Peloponesian War,Thucydides,No Rating,No reviews,false
Dialogues,Plato,No Rating,No reviews,false
Poetics,Aristotle,No Rating,No reviews,false
Physics,Aristotle,No Rating,No reviews,false
Ethics,Aristotle,No Rating,No reviews,false
De Anima,Aristotle,No Rating,No reviews,false
Greek Anthology,Unknown,No Rating,No reviews,false
On The Nature of Things,Lucretius,No Rating,No reviews,false
Parallel Lives,Plutarch,No Rating,No reviews,false
Aeneid,Virgil,No Rating,No reviews,false
Bucolics,Virgil,No Rating,No reviews,false
Georgics,Virgil,No Rating,No reviews,false
Annals,Tacitus,No Rating,No reviews,false
Metamorphoses,Ovid,No Rating,No reviews,false
Heroides,Ovid,No Rating,No reviews,false
Amores,Ovid,No Rating,No reviews,false
The New Testament,Unknown,No Rating,No reviews,false
The Twelve Caesars,Suetonius,No Rating,No reviews,false
Meditations,Marcus Aurelius,No Rating,No reviews,false
[Poems],Catullus,No Rating,No reviews,false
[Poems],Horace,No Rating,No reviews,false
Discourses,Epictetus,No Rating,No reviews,false
[Plays],Aristophanes,No Rating,No reviews,false
Historical Miscellany,Aelianus,No Rating,No reviews,false
On the Nature of Animals,Aelianus,No Rating,No reviews,false
Argonautica,Apollonius Rhodius,No Rating,No reviews,false
Fourteen Byzantine Rulers,Michael Psellus,No Rating,No reviews,false
The Rise and Fall of the Roman Empire,Edward Gibbon,No Rating,No reviews,false
The Enneads,Plotinus,No Rating,No reviews,false
Ecclesiastical History,Eusebius,No Rating,No reviews,false
Consolations of Philosophy,Boethius,No Rating,No reviews,false
Letters,Pliny the Younger,No Rating,No reviews,false
Byzantine verse romances,Unknown,No Rating,No reviews,false
Fragments,Heraclitus,No Rating,No reviews,false
Confessions,St. Augustine,No Rating,No reviews,false
Summa Theologica,Thomas Aquinas,No Rating,No reviews,false
The Little Flowers,St. Francis of Assisi,No Rating,No reviews,false
The Prince,Niccol? Machiavelli,No Rating,No reviews,false
Divide Comedy,Dante Aighieri,No Rating,No reviews,false
Novelle,Franco Sacchetti,No Rating,No reviews,false
Icelandic sagas,Unknown,No Rating,No reviews,false
Anthony and Cleopatra,William Shakespeare,No Rating,No reviews,false
Hamlet,William Shakespeare,No Rating,No reviews,false
Macbeth,William Shakespeare,No Rating,No reviews,false
Henry V,William Shakespeare,No Rating,No reviews,false
Unknown,Fran?ois Rabelais,No Rating,No reviews,false
Unknown,Francis Bacon,No Rating,No reviews,false
[Selected Works],Martin Luther,No Rating,No reviews,false
Institutes of the Christian Religion,John Calvin,No Rating,No reviews,false
Essays,Michel de Montaigne,No Rating,No reviews,false
Don Quixote,Miguel de Cervantes,No Rating,No reviews,false
Discourses,Ren? Descartes,No Rating,No reviews,false
Song of Roland,Unknown,No Rating,No reviews,false
Beowulf,Unknown,No Rating,No reviews,false
Unknown,Benvenuto Cellini,No Rating,No reviews,false
Education of Henry Adams,Henry Adams,No Rating,No reviews,false
The Leviathan,Thomas Hobbes,No Rating,No reviews,false
Thoughts,Blaise Pascal,No Rating,No reviews,false
Paradise Lost,John Milton,No Rating,No reviews,false
Unknown,John Donne,No Rating,No reviews,false
Unknown,Andrew Marvell,No Rating,No reviews,false
Unknown,George Herbert,No Rating,No reviews,false
Unknown,Richard Crashaw,No Rating,No reviews,false
Treatises,Baruch?Spinoza,No Rating,No reviews,false
Charterhouse of Parma,Stendhal,No Rating,No reviews,false
The Red and the Black,Stendhal,No Rating,No reviews,false
The Life of Henry Brulard,Stendhal,No Rating,No reviews,false
Gullivers Travels,Jonathan Swift,No Rating,No reviews,false
Tristram Shandy,Laurence Sterne,No Rating,No reviews,false
Dangerous Liasons,Choderlos de Laclos,No Rating,No reviews,false
Persian Letters,Baron de Montesquieu,No Rating,No reviews,false
Second Treatise on Government,John Locke,No Rating,No reviews,false
The Wealth of Nations,Adam Smith,No Rating,No reviews,false
Discourse on Metaphysics,Gottfried Leibniz,No Rating,No reviews,false
Everything,David Hume,No Rating,No reviews,false
The Federalist Papers,Unknown,No Rating,No reviews,false
Critique of Pure Reason,Immanuel Kant,No Rating,No reviews,false
Fear and Trembling,S?ren?Kierkegaard,No Rating,No reviews,false
Either/Or,S?ren?Kierkegaard,No Rating,No reviews,false
Philosophical Fragments,S?ren?Kierkegaard,No Rating,No reviews,false
Notes From the Underground,Fyodor Dostoevsky,No Rating,No reviews,false
The Possessed,Fyodor Dostoevsky,No Rating,No reviews,false
Democracy in America,Alexis de Tocqueville,No Rating,No reviews,false
Faust,Johann Wolfgang von Goethe,No Rating,No reviews,false
Italian Journey,Johann Wolfgang von Goethe,No Rating,No reviews,false
Empire of the Czar,Unknown,No Rating,No reviews,false
"Astolphe-Louis-L?onor,Unknown,No Rating,No reviews,false
Empire of the Czar,Unknown,No Rating,No reviews,false
Marquis de Custine",Unknown,No Rating,No reviews,false
Mimesis,Eric Auerbach,No Rating,No reviews,false
Conquest of Mexico,William H. Prescott,No Rating,No reviews,false
Labyrinths of Solitude,Octavio Paz:,No Rating,No reviews,false
The Logic of Scientific Discovery,Sir Karl Popper,No Rating,No reviews,false
The Open Society and Its Enemies,Sir Karl Popper,No Rating,No reviews,false
Crowds and Power,Elias Canetti,No Rating,No reviews,false
