Title,Author
Mahabharata [Bhagavad Gita],Unknown
Epic of Gilgamesh,Unknown
The Old Testament,Unknown
Illiad,Homer
Odyssey,Homer
Histories,Herodotus
[Plays],Sophocles
[Plays],Aeschyles
Hippolytus,Euripides
Bachants,Euripides
Electra,Euripides
The Phornician Women,Euripides
The Peloponesian War,Thucydides
Dialogues,Plato
Poetics,Aristotle
Physics,Aristotle
Ethics,Aristotle
De Anima,Aristotle
Greek Anthology,Unknown
On The Nature of Things,Lucretius
Parallel Lives,Plutarch
Aeneid,Virgil
Bucolics,Virgil
Georgics,Virgil
Annals,Tacitus
Metamorphoses,Ovid
Heroides,Ovid
Amores,Ovid
The New Testament,Unknown
The Twelve Caesars,Suetonius
Meditations,Marcus Aurelius
[Poems],Catullus
[Poems],Horace
Discourses,Epictetus
[Plays],Aristophanes
Historical Miscellany,Aelianus
On the Nature of Animals,Aelianus
Argonautica,Apollonius Rhodius
Fourteen Byzantine Rulers,Michael Psellus
The Rise and Fall of the Roman Empire,Edward Gibbon
The Enneads,Plotinus
Ecclesiastical History,Eusebius
Consolations of Philosophy,Boethius
Letters,Pliny the Younger
Byzantine verse romances,Unknown
Fragments,Heraclitus
Confessions,St. Augustine
Summa Theologica,Thomas Aquinas
The Little Flowers,St. Francis of Assisi
The Prince,Niccol? Machiavelli
Divide Comedy,Dante Aighieri
Novelle,Franco Sacchetti
Icelandic sagas,Unknown
Anthony and Cleopatra,William Shakespeare
Hamlet,William Shakespeare
Macbeth,William Shakespeare
Henry V,William Shakespeare
Unknown,Fran?ois Rabelais
Unknown,Francis Bacon
[Selected Works],Martin Luther
Institutes of the Christian Religion,John Calvin
Essays,Michel de Montaigne
Don Quixote,Miguel de Cervantes
Discourses,Ren? Descartes
Song of Roland,Unknown
Beowulf,Unknown
Unknown,Benvenuto Cellini
Education of Henry Adams,Henry Adams
The Leviathan,Thomas Hobbes
Thoughts,Blaise Pascal
Paradise Lost,John Milton
Unknown,John Donne
Unknown,Andrew Marvell
Unknown,George Herbert
Unknown,Richard Crashaw
Treatises,Baruch?Spinoza
Charterhouse of Parma,Stendhal
The Red and the Black,Stendhal
The Life of Henry Brulard,Stendhal
Gullivers Travels,Jonathan Swift
Tristram Shandy,Laurence Sterne
Dangerous Liasons,Choderlos de Laclos
Persian Letters,Baron de Montesquieu
Second Treatise on Government,John Locke
The Wealth of Nations,Adam Smith
Discourse on Metaphysics,Gottfried Leibniz
Everything,David Hume
The Federalist Papers,Unknown
Critique of Pure Reason,Immanuel Kant
Fear and Trembling,S?ren?Kierkegaard
Either/Or,S?ren?Kierkegaard
Philosophical Fragments,S?ren?Kierkegaard
Notes From the Underground,Fyodor Dostoevsky
The Possessed,Fyodor Dostoevsky
Democracy in America,Alexis de Tocqueville
Faust,Johann Wolfgang von Goethe
Italian Journey,Johann Wolfgang von Goethe
Empire of the Czar,Unknown
"Astolphe-Louis-L?onor,Unknown
Empire of the Czar,Unknown
Marquis de Custine",Unknown
Mimesis,Eric Auerbach
Conquest of Mexico,William H. Prescott
Labyrinths of Solitude,Octavio Paz:
The Logic of Scientific Discovery,Sir Karl Popper
The Open Society and Its Enemies,Sir Karl Popper
Crowds and Power,Elias Canetti
